data,instance,real,user,system,sameness
ibic-highres,adrc,50265.17,50148.62,118.66,same
ibic-highres,adrc,51491.54,51365.76,124.10,same
ibic-highres,adrc,50704.16,50591.85,119.74,same
ibic-highres,adrc,50278.31,50154.93,122.36,same
ibic-highres,adrc,50351.16,50238.55,121.22,same
ibic-highres,adrc,52345.69,52169.94,129.76,same
ibic-highres,adrc,50347.12,50190.94,128.31,same
ibic-highres,adrc,51125.94,51009.69,126.34,same
ibic-highres,adrc,50908.37,50780.26,124.62,same
ibic-highres,adrc,51331.70,51218.93,121.78,same
ibic-highres,adrc,51615.23,51492.40,119.76,same
ibic-highres,adrc,49692.05,49573.44,121.59,same
ibic-highres,adrc,50214.09,50097.17,123.24,same
ibic-highres,adrc,51123.91,51002.72,123.85,same
ibic-highres,adrc,51283.16,51123.51,128.05,same
ibic-highres,adrc,49736.55,49620.62,119.90,same
ibic-highres,adrc,50390.15,50277.53,122.62,same
ibic-highres,adrc,50647.94,50539.54,116.24,same
ibic-highres,adrc,52751.14,52610.88,123.40,same
ibic-highres,adrc,52079.20,51962.02,122.02,same
ibic-highres,adrc,49475.64,49360.59,123.18,same
ibic-highres,adrc,51413.73,51286.52,124.81,same
ibic-highres,adrc,50997.81,50866.56,125.86,same
ibic-highres,adrc,50477.10,50353.60,125.50,same
ibic-highres,adrc,50329.38,50242.72,108.92,same
ibic-highres,adrc,46172.84,46081.36,109.09,same
ibic-highres,adrc,50224.72,50135.84,108.78,same
ibic-highres,adrc,49445.55,49356.75,109.48,same
ibic-highres,adrc,50778.65,50691.11,109.16,same
ibic-highres,adrc,45388.81,45294.78,110.12,same
ibic-highres,adrc,47284.74,47194.16,110.21,same
ibic-highres,adrc,50234.00,50148.32,107.55,same
ibic-highres,adrc,45831.23,45738.44,109.87,same
ibic-highres,adrc,44741.56,44651.03,108.95,same
ibic-highres,adrc,46617.30,46524.43,111.41,same
ibic-highres,adrc,46342.75,46250.81,109.79,same
ibic-highres,panuc,54955.84,54238.13,142.61,different
ibic-highres,panuc,57868.55,57188.38,137.09,different
ibic-highres,panuc,47403.21,46906.86,123.92,different
ibic-highres,panuc,55473.58,54909.38,129.76,different
ibic-highres,panuc,47552.83,47066.62,132.78,different
ibic-highres,panuc,57838.95,57355.64,133.57,different
ibic-highres,panuc,52084.61,51457.48,128.60,different
ibic-highres,panuc,60748.66,60465.21,128.31,different
ibic-highres,panuc,48280.88,47837.53,124.34,different
ibic-highres,panuc,58122.73,57621.90,130.40,different
ibic-highres,panuc,50688.20,50259.15,133.55,different
ibic-highres,panuc,56494.27,55922.44,138.88,different
ibic-highres,panuc,54727.70,54322.23,135.79,different
ibic-highres,panuc,49630.68,49318.10,120.58,different
ibic-highres,panuc,61617.08,61172.84,135.08,different
ibic-highres,panuc,56998.62,56654.54,115.64,different
ibic-highres,panuc,48236.13,47787.37,123.98,different
ibic-highres,panuc,52470.77,51748.24,134.82,different
ibic-highres,panuc,57089.04,56695.14,148.98,different
ibic-highres,panuc,63152.82,62611.50,147.43,different
ibic-highres,panuc,47513.04,46991.90,128.02,different
ibic-highres,panuc,56900.39,56512.48,131.70,different
ibic-highres,panuc,50531.65,50122.21,129.59,different
ibic-highres,panuc,55488.45,55173.20,117.59,different
ibic-highres,C4.8xlarge,65376.02,64881.74,189.85,different
ibic-highres,C4.8xlarge,65390.68,64862.23,203.55,different
ibic-highres,C4.8xlarge,65453.02,64957.60,188.88,different
ibic-highres,C4.8xlarge,65798.83,65305.15,191.01,different
ibic-highres,C4.8xlarge,65868.10,65390.76,178.14,different
ibic-highres,C4.8xlarge,65916.99,65386.49,211.65,different
ibic-highres,C4.8xlarge,66009.66,65485.50,206.90,different
ibic-highres,C4.8xlarge,66010.02,65456.05,201.32,different
ibic-highres,C4.8xlarge,66057.92,65509.09,206.37,different
ibic-highres,C4.8xlarge,66209.83,65696.29,201.25,different
ibic-highres,C4.8xlarge,66899.70,66408.37,191.30,different
ibic-highres,C4.8xlarge,66957.66,66410.18,202.25,different
ibic-highres,C4.8xlarge,67121.40,66607.00,212.92,different
ibic-highres,C4.8xlarge,67253.82,66726.09,220.56,different
ibic-highres,C4.8xlarge,67406.19,66908.87,201.38,different
ibic-highres,C4.8xlarge,67553.31,66945.96,209.81,different
ibic-highres,C4.8xlarge,69190.35,68673.74,203.32,different
ibic-highres,C4.8xlarge,69550.53,69028.27,203.03,different
ibic-highres,C4.8xlarge,70460.58,69872.58,211.26,different
ibic-highres,C4.8xlarge,70593.07,70073.02,190.99,different
ibic-highres,C4.8xlarge,70595.06,70014.90,206.09,different
ibic-highres,C4.8xlarge,71047.71,70513.02,202.04,different
ibic-highres,C4.8xlarge,71275.35,70692.87,215.63,different
ibic-highres,C4.8xlarge,71278.53,70690.24,204.36,different
ibic-highres,C4.8xlarge,71312.41,70746.12,199.24,different
ibic-highres,C4.8xlarge,71325.84,70773.14,202.53,different
ibic-highres,C4.8xlarge,71377.02,70837.39,191.23,different
ibic-highres,C4.8xlarge,71382.67,70812.16,199.76,different
ibic-highres,C4.8xlarge,71397.47,70873.90,192.35,different
ibic-highres,C4.8xlarge,71736.98,71176.57,206.03,different
ibic-highres,C4.8xlarge,72234.53,71610.45,215.68,different
ibic-highres,C4.8xlarge,72776.99,72194.22,226.09,different
ibic-highres,C4.8xlarge,72793.61,72161.05,215.84,different
ibic-highres,C4.8xlarge,73201.48,72609.80,230.45,different
ibic-highres,C4.xlarge,49523.88,49303.53,92.90,different
ibic-highres,C4.xlarge,50162.31,49941.04,97.35,different
ibic-highres,C4.xlarge,55583.69,55388.36,101.36,different
ibic-highres,C4.xlarge,56104.93,55889.70,101.97,different
ibic-highres,M4.4xlarge,63285.06,63130.10,127.72,different
ibic-highres,M4.4xlarge,63298.12,63141.59,129.39,different
ibic-highres,M4.4xlarge,63718.31,63563.89,127.51,different
ibic-highres,M4.4xlarge,64138.42,63974.31,136.38,different
ibic-highres,M4.4xlarge,64457.66,64302.69,127.23,different
ibic-highres,M4.4xlarge,64758.73,64596.33,135.27,different
ibic-highres,M4.4xlarge,64839.78,64676.59,132.75,different
ibic-highres,M4.4xlarge,68406.61,68240.15,138.71,different
ibic-highres,M4.4xlarge,71075.01,70900.87,145.01,different
ibic-highres,M4.4xlarge,71245.19,71071.86,143.55,different
ibic-highres,M4.4xlarge,72326.77,72150.30,143.69,different
ibic-highres,M4.4xlarge,72751.75,72576.75,145.12,different
ibic-highres,M4.4xlarge,73300.77,73128.93,140.21,different
ibic-highres,M4.4xlarge,73353.57,73177.57,146.47,different
ibic-highres,M4.4xlarge,75776.54,75588.56,156.16,different
ibic-highres,M4.4xlarge,76926.30,76734.96,158.84,different
ibic-highres,M4.4xlarge,59687.39,59524.47,127.45,different
ibic-highres,M4.4xlarge,61205.43,61042.71,125.21,different
ibic-highres,M4.4xlarge,60969.21,60799.68,130.18,different
ibic-highres,M4.4xlarge,66313.76,66135.25,137.92,different
ibic-highres,M4.4xlarge,60312.69,60154.04,127.13,different
ibic-highres,M4.4xlarge,68287.62,68111.20,135.33,different
ibic-highres,M4.4xlarge,67428.23,67252.82,135.61,different
ibic-highres,M4.4xlarge,58727.42,58569.05,123.24,different
ibic-highres,M4.4xlarge,59673.59,59519.37,117.90,different
ibic-highres,M4.4xlarge,67608.68,67440.79,128.44,different
ibic-highres,M4.4xlarge,59318.28,59171.13,117.87,different
ibic-highres,M4.4xlarge,62593.91,62437.37,123.14,different
ibic-highres,M4.4xlarge,65524.40,65353.42,131.64,different
ibic-highres,M4.4xlarge,58653.79,58499.38,118.57,different
ibic-highres,M4.4xlarge,64440.16,64279.17,127.84,different
ibic-highres,M4.4xlarge,63690.66,63517.71,136.42,different
ibic-highres,M4.4xlarge,35746.91,35639.54,93.64,different
ibic-highres,M4.4xlarge,42755.53,42630.06,109.98,different
ibic-highres,M4.large,51268.65,50968.22,103.73,different
ibic-highres,M4.large,58544.65,58252.19,114.45,different